Date,Time,Open,High,Low,Close,Volume
2024.05.13,14:00,28.144,28.169,28.11,28.125,670
2024.05.13,14:15,28.126,28.161,28.11,28.161,461
2024.05.13,14:30,28.16,28.196,28.158,28.17,524
2024.05.13,14:45,28.17,28.239,28.165,28.209,591
2024.05.13,15:00,28.209,28.331,28.201,28.328,663
2024.05.13,15:15,28.327,28.35,28.269,28.289,1223
2024.05.13,15:30,28.29,28.345,28.272,28.338,1196
2024.05.13,15:45,28.339,28.382,28.329,28.34,760
2024.05.13,16:00,28.34,28.348,28.249,28.343,1290
2024.05.13,16:15,28.345,28.364,28.262,28.265,874
2024.05.13,16:30,28.265,28.349,28.194,28.202,2045
2024.05.13,16:45,28.209,28.323,28.209,28.313,1613
2024.05.13,17:00,28.313,28.366,28.23,28.271,1452
2024.05.13,17:15,28.271,28.303,28.194,28.3,1668
2024.05.13,17:30,28.3,28.33,28.279,28.31,1143
2024.05.13,17:45,28.31,28.363,28.298,28.357,990
2024.05.13,18:00,28.357,28.359,28.126,28.177,1784
2024.05.13,18:15,28.174,28.184,28.074,28.079,1081
2024.05.13,18:30,28.079,28.145,28.065,28.125,1138
2024.05.13,18:45,28.126,28.189,28.119,28.189,622
2024.05.13,19:00,28.189,28.248,28.189,28.239,759
2024.05.13,19:15,28.239,28.248,28.21,28.225,635
2024.05.13,19:30,28.225,28.264,28.21,28.258,535
2024.05.13,19:45,28.258,28.275,28.217,28.227,592
2024.05.13,20:00,28.229,28.248,28.212,28.218,650
2024.05.13,20:15,28.218,28.25,28.202,28.237,341
2024.05.13,20:30,28.237,28.253,28.213,28.233,432
2024.05.13,20:45,28.232,28.239,28.215,28.226,349
2024.05.13,21:00,28.226,28.243,28.222,28.238,281
2024.05.13,21:15,28.239,28.261,28.228,28.238,322
2024.05.13,21:30,28.239,28.257,28.22,28.227,313
2024.05.13,21:45,28.229,28.233,28.217,28.227,282
2024.05.13,22:00,28.231,28.237,28.207,28.226,314
2024.05.13,22:15,28.223,28.239,28.222,28.238,236
2024.05.13,22:30,28.236,28.257,28.227,28.256,241
2024.05.13,22:45,28.257,28.262,28.232,28.241,300
2024.05.13,23:00,28.242,28.245,28.227,28.236,152
2024.05.13,23:15,28.237,28.239,28.211,28.216,193
2024.05.13,23:30,28.216,28.216,28.192,28.206,130
2024.05.13,23:45,28.211,28.211,28.192,28.194,119
2024.05.14,01:00,28.171,28.25,28.171,28.239,141
2024.05.14,01:15,28.241,28.268,28.241,28.263,42
2024.05.14,01:30,28.264,28.269,28.245,28.267,52
2024.05.14,01:45,28.269,28.283,28.259,28.262,60
2024.05.14,02:00,28.262,28.283,28.262,28.282,60
2024.05.14,02:15,28.283,28.283,28.26,28.26,30
2024.05.14,02:30,28.259,28.277,28.257,28.272,50
2024.05.14,02:45,28.267,28.298,28.264,28.272,189
2024.05.14,03:00,28.273,28.309,28.264,28.304,209
2024.05.14,03:15,28.304,28.344,28.299,28.308,256
2024.05.14,03:30,28.307,28.31,28.263,28.269,206
2024.05.14,03:45,28.268,28.294,28.264,28.279,294
2024.05.14,04:00,28.278,28.325,28.278,28.321,715
