Date,Time,Open,High,Low,Close,Volume
2002.09.15,00:00,4.54,4.72,4.5,4.63,1422
2002.09.16,00:00,4.54,4.6,4.5,4.5600000000000005,284
2002.09.17,00:00,4.54,4.57,4.5,4.57,272
2002.09.18,00:00,4.59,4.65,4.5600000000000005,4.62,328
2002.09.19,00:00,4.61,4.66,4.6,4.66,271
2002.09.20,00:00,4.66,4.72,4.6,4.63,267
2002.09.23,00:00,4.64,4.67,4.58,4.63,254
2002.09.24,00:00,4.62,4.71,4.57,4.65,297
2002.09.25,00:00,4.65,4.68,4.55,4.59,278
2002.09.26,00:00,4.59,4.61,4.48,4.52,349
2002.09.27,00:00,4.52,4.54,4.46,4.49,273
2002.09.30,00:00,4.52,4.58,4.5,4.54,197
2002.10.01,00:00,4.52,4.52,4.52,4.52,1
2002.10.02,00:00,4.48,4.49,4.45,4.49,136
2002.10.03,00:00,4.49,4.53,4.46,4.48,47
2002.10.04,00:00,4.46,4.47,4.42,4.47,219
2002.10.07,00:00,4.47,4.51,4.43,4.45,55
2002.10.08,00:00,4.44,4.46,4.35,4.38,200
2002.10.09,00:00,4.38,4.4,4.31,4.36,174
2002.10.10,00:00,4.36,4.51,4.27,4.28,351
2002.10.11,00:00,4.27,4.35,4.26,4.32,244
2002.10.14,00:00,4.33,4.36,4.29,4.31,209
2002.10.15,00:00,4.32,4.35,4.28,4.32,320
2002.10.16,00:00,4.31,4.37,4.3,4.37,208
2002.10.17,00:00,4.34,4.34,4.31,4.34,128
2002.10.18,00:00,4.33,4.35,4.32,4.35,115
2002.10.21,00:00,4.34,4.39,4.29,4.35,172
2002.10.22,00:00,4.34,4.42,4.34,4.42,284
2002.10.23,00:00,4.42,4.44,4.39,4.41,108
2002.10.24,00:00,4.4,4.42,4.33,4.37,220
2002.10.25,00:00,4.37,4.44,4.36,4.4,177
2002.10.28,00:00,4.41,4.45,4.4,4.41,197
2002.10.29,00:00,4.4,4.5,4.39,4.5,500
2002.10.30,00:00,4.5,4.55,4.44,4.49,266
2002.10.31,00:00,4.48,4.54,4.46,4.51,314
2002.11.01,00:00,4.49,4.61,4.47,4.49,382
2002.11.04,00:00,4.49,4.52,4.43,4.49,289
2002.11.05,00:00,4.5,4.53,4.47,4.49,112
2002.11.06,00:00,4.49,4.49,4.45,4.49,124
2002.11.07,00:00,4.5,4.58,4.42,4.55,324
2002.11.08,00:00,4.5600000000000005,4.62,4.51,4.53,268
2002.11.11,00:00,4.52,4.5600000000000005,4.51,4.5600000000000005,101
2002.11.12,00:00,4.55,4.59,4.54,4.59,266
2002.11.13,00:00,4.6,4.65,4.51,4.5600000000000005,416
2002.11.14,00:00,4.5600000000000005,4.62,4.51,4.5600000000000005,271
2002.11.15,00:00,4.5600000000000005,4.6,4.53,4.57,209
2002.11.18,00:00,4.57,4.6,4.51,4.54,193
2002.11.19,00:00,4.55,4.6,4.53,4.55,191
2002.11.20,00:00,4.55,4.57,4.5,4.54,204
2002.11.21,00:00,4.53,4.5600000000000005,4.42,4.47,276
2002.11.22,00:00,4.48,4.57,4.44,4.54,239
2002.11.25,00:00,4.53,4.55,4.45,4.48,174
2002.11.26,00:00,4.49,4.51,4.41,4.44,169
2002.11.27,00:00,4.45,4.48,4.37,4.42,350
2002.11.28,00:00,4.38,4.42,4.37,4.42,33
2002.11.29,00:00,4.42,4.43,4.4,4.43,56
2002.12.02,00:00,4.45,4.47,4.4,4.44,219
2002.12.03,00:00,4.43,4.54,4.41,4.54,347
2002.12.04,00:00,4.54,4.6,4.52,4.57,209
2002.12.05,00:00,4.57,4.67,4.54,4.61,306
2002.12.06,00:00,4.61,4.7,4.58,4.64,284
2002.12.09,00:00,4.64,4.66,4.54,4.5600000000000005,347
2002.12.10,00:00,4.61,4.64,4.5600000000000005,4.6,119
2002.12.11,00:00,4.59,4.67,4.58,4.64,202
2002.12.12,00:00,4.63,4.77,4.58,4.71,359
2002.12.13,00:00,4.73,4.8100000000000005,4.64,4.67,277
2002.12.16,00:00,4.68,4.74,4.62,4.71,302
2002.12.17,00:00,4.72,4.77,4.58,4.63,538
2002.12.18,00:00,4.63,4.69,4.59,4.69,371
2002.12.19,00:00,4.69,4.77,4.61,4.68,401
2002.12.20,00:00,4.68,4.72,4.58,4.61,311
2002.12.23,00:00,4.6,4.65,4.58,4.65,180
2002.12.24,00:00,4.63,4.65,4.6,4.65,159
2002.12.26,00:00,4.66,4.69,4.64,4.69,80
2002.12.27,00:00,4.7,4.73,4.65,4.69,379
2002.12.30,00:00,4.73,4.76,4.63,4.66,369
2002.12.31,00:00,4.66,4.82,4.63,4.78,277
2003.01.02,00:00,4.78,4.83,4.73,4.79,421
2003.01.03,00:00,4.82,4.92,4.75,4.89,349
2003.01.06,00:00,4.8100000000000005,4.94,4.8,4.88,430
2003.01.07,00:00,4.88,4.9,4.75,4.78,443
2003.01.08,00:00,4.8100000000000005,4.88,4.74,4.85,489
2003.01.09,00:00,4.84,4.88,4.79,4.8100000000000005,493
2003.01.10,00:00,4.84,4.88,4.79,4.84,408
2003.01.13,00:00,4.84,4.87,4.77,4.8100000000000005,298
